TweetID,tweet
1.50574E+18,"Polsek Kualuh Hulu selenggarakan vaksinasi covid 19 massal gratis Dosis I, II dan III untuk masyarakat berbagai kalangan termasuk anak sekolah di Gerai Mako Polsek Kualuh Hulu. Senin (21/03) pkl 09.00 wib https://t.co/TV0m2sPdTq"
1.50564E+18,"@AkhdanZiyaad @Saha_namina_ @jokowi Dungu tereak dungu ya drun.. SBY ngutang hasilnya apa coba ???
Cuma candi hambalang...

Kalo Jokowi ngutang, itu utk membangun negara ini &amp; ngasih vaksin covid 19 gratis utk ente &amp; seluruh keluarga ente

Masih mending ente dikasih vaksin bukanmya langsung di DOR spt rezim orba."
1.50514E+18,"Uni Eropa Usulkan Tes Vaksin Covid Gratis bagi Pengungsi Ukraina
#Russia #Ukraine #pengungsi #UniEropa #indoposco https://t.co/2mYxlVyLyR"
1.50511E+18,Uni Eropa Usul Tes &amp; Vaksin Covid-19 Gratis Bagi Pengungsi Ukraina
1.50511E+18,"Vaksin Covid19 banyak untung nya lho, GRATIS pula! Ayo yang belum vaksin segera Vaksin yaa...
#IndonesiaSehatIndonesiaHebat https://t.co/TSsiykANHG"
1.50504E+18,Uni Eropa Usulkan Tes dan Vaksin Covid-19 Gratis Bagi Pengungsi Ukraina By MSN- Opsi Informasi- https://t.co/V0kiOZeKI2 https://t.co/gZ7Jv2SRWo
1.50503E+18,"Cegah Covid-19, Uni Eropa Usulkan Tes dan Vaksin Gratis untuk Pengungsi Ukraina https://t.co/PKOYDfIeVZ https://t.co/U0r6BVQWHC"
1.505E+18,Uni Eropa Usul Tes &amp; Vaksin Covid-19 Gratis Bagi Pengungsi Ukraina https://t.co/eVlcwdlUa8
1.505E+18,"Uni Eropa usulkan tes, vaksin COVID gratis bagi pengungsi Ukraina https://t.co/G1H5pM843G"
1.50499E+18,"Majalengka, Berbagai upaya dan cara dilakukan Kepolisian Resor (Polres) Majalengka Polda Jabar untuk menarik minat masyarakat agar mau mengikuti vaksin. Salah satunya dengan bag-bagi minyak goreng gratis bagi warga yang datang untuk vaksinasi Covid-19. https://t.co/K7UpVv5BSx"
